topic,question,answer,reference
Flight Permit,What is a Flight Permit and under what circumstances is it issued by the GCAA?,"A Flight Permit is a temporary authorisation issued by the GCAA to allow an aircraft to fly when it does not meet the requirements for a valid Certificate of Airworthiness but is still considered safe for the intended flight. It is issued under the provisions of CAR V, specifically CAR 21 Subpart P.

Flight Permits may be granted for purposes such as ferry flights, test flights, delivery flights, or for flying aircraft to a location where maintenance, repair, or storage will take place. It may also be issued for demonstration or exhibition flights.

To obtain a Flight Permit, the operator must submit an application to the GCAA including technical justification, route, flight conditions, and any limitations. Supporting documents such as a Certificate of Fitness for Flight, current weight and balance data, and maintenance status must be provided. The GCAA may also request a risk assessment.

The permit is subject to strict limitations such as daylight-only operation, minimum equipment requirements, or route restrictions. In some cases, restrictions may include limitations on altitude, weather conditions, and crew qualifications.

A Flight Permit is not equivalent to a Certificate of Airworthiness and is only valid for the specific flight or duration mentioned in the approval. The aircraft must be operated in accordance with the permit conditions, and the permit must be carried on board.",GCAA
MEL,What is a Minimum Equipment List (MEL) and how is it managed under GCAA regulations?,"A Minimum Equipment List (MEL) is a GCAA-approved document developed by the operator based on the Master Minimum Equipment List (MMEL). It specifies the equipment and systems that may be inoperative during flight under defined conditions while maintaining an acceptable level of safety.
Under CAR AIR OPS Subpart B, the MEL is required for all commercial air transport operators and forms part of the Operations Manual. It must reflect the actual aircraft configuration and operating conditions, including the type of operation, route structure, and airspace requirements.
The MEL must include:
1.	A list of items and systems permitted to be inoperative.
2.	Conditions and limitations for dispatch with inoperative items.
3.	Placarding and operational procedures required by the flight crew.
4.	Associated maintenance procedures and deferral intervals.
The MEL is specific to each aircraft registration and must be kept up to date with changes to the MMEL, the aircraft configuration, or regulatory requirements. The operator must have internal control procedures for MEL usage, approval, and revision, typically described in the Operations Manual and Continuing Airworthiness Management Exposition (CAME).
Deferrals must be recorded and tracked, with time limits and corrective actions clearly defined. MEL items must be rectified within the approved deferral period, and any extensions require GCAA approval or an acceptable procedure stated in the MEL policy.
Improper use or failure to follow MEL procedures may result in operational or airworthiness findings during GCAA audits or ramp inspections.",GCAA
MMEL,What is a Master Minimum Equipment List (MMEL) and how is it used under GCAA regulations?,"A Master Minimum Equipment List (MMEL) is a document approved by the aircrafts State of Design that outlines equipment and systems which may be inoperative for dispatch under specific conditions, without significantly affecting the aircrafts airworthiness or safety. It forms the basis for developing the operator-specific Minimum Equipment List (MEL).
Under CAR AIR OPS Subpart B and referenced in CAR M.302, the MMEL is not used directly by operators but provides the template from which the MEL is derived. The MEL must be tailored to the specific aircraft and operation and approved by the GCAA.
The MMEL includes:
1.	The system or item allowed to be inoperative.
2.	Associated conditions, limitations, and placarding requirements.
3.	Maximum duration of operation with the item inoperative.
4.	References to maintenance procedures or dispatch conditions.
The operators MEL, based on the MMEL, is a controlled document and must be referenced in the Operations Manual. It must be approved by the GCAA and kept up to date with changes to the MMEL, operational context, or aircraft configuration.
Aircraft may not be dispatched with inoperative equipment unless it is listed in the approved MEL, and the conditions for use are fully met. Maintenance procedures for deferral and rectification must be included in the AMP and coordinated with the CAMO.
MEL compliance is monitored during operational audits, airworthiness reviews, and ramp inspections. Improper use or lack of control over MEL procedures may lead to findings.",GCAA
MOE,What is a Maintenance Organisation Exposition (MOE) and what are its requirements under GCAA CAR 145?,"A MOE is a document or set of documents that defines how a GCAA-approved maintenance organisation complies with CAR 145 requirements. It outlines the organisation's scope of work, procedures, and quality assurance systems, serving as a reference for both internal personnel and regulatory authorities.
Under CAR 145.70, the MOE must include:
1.	A statement signed by the accountable manager confirming the organisation's commitment to comply with CAR 145.
2.	A general description of the scope of work authorised under the organisations terms of approval.
3.	The titles and names of the persons nominated under CAR 145.30.
4.	The duties and responsibilities of the nominated persons.
5.	An organisation chart showing the associated chains of responsibility.
6.	A list of certifying staff, support staff, and airworthiness review staff, if applicable.
7.	A general description of manpower resources.
8.	A general description of the organisations facilities at each address specified in the approval certificate.
9.	A specification of the organisations scope of work relevant to the extent of approval.
10.	The notification procedure for changes as per CAR 145.85.
11.	The MOE amendment procedure.
12.	The procedures specifying how the organisation ensures compliance with CAR 145.
13.	A list of the commercial operators to which the organisation provides regular maintenance services.
14.	A list of subcontracted organisations, if applicable.
15.	A list of approved locations, including line maintenance locations.
16.	A list of contracted organisations.
The MOE must be kept up to date, and any amendments must be approved by the GCAA. Minor amendments may be approved through an exposition procedure, subject to criteria defined in the MOE.
The MOE must be readily available to all staff and is a controlled document subject to regular audit by the GCAA
The MOE serves as the foundation for the organisation's approval and must be adhered to at all times. It ensures that maintenance activities are carried out in accordance with approved procedures, maintaining the safety and airworthiness of aircraft.",GCAA
QCM,What is a Quality Control Manual (QCM) and how is it used under GCAA CAR 145?,"A QCM, often included as part of or referenced in the Maintenance Organisation Exposition (MOE), outlines the procedures, responsibilities, and processes used by a CAR 145-approved organisation to ensure compliance with regulatory requirements and internal quality standards.
Under CAR 145.A.65, an organisation must establish an independent Quality System to monitor compliance with CAR 145 and with internal procedures. The QCM provides the structure for this system and includes procedures for audits, reporting, corrective actions, and quality assurance of maintenance activities.
The QCM typically contains:
1.	The organisations quality policy and objectives.
2.	The structure and responsibilities of the Quality Department.
3.	Audit schedules and procedures for internal and external audits.
4.	Procedures for identifying and reporting non-conformances.
5.	Corrective and preventive action processes.
6.	Documentation and record-keeping requirements.
7.	Training and qualification requirements for quality staff.
8.	Procedures for reviewing and updating quality procedures.
9.	Interfaces with Safety Management Systems (SMS) where applicable.
The QCM must be authorised by the Accountable Manager and is subject to GCAA approval. It is a live document that must be reviewed regularly and updated when necessary. In many cases, the QCM may be integrated into the MOE or kept as a referenced controlled document.
The purpose of the QCM is to ensure that all maintenance and related activities are carried out in compliance with applicable regulations, procedures, and safety standards, thereby maintaining the airworthiness of aircraft.",GCAA
Maintenance Data,What is meant by the term Maintenance Data?,"GCAA CAR V CAR 145.45 requires all organisations to hold and use applicable current maintenance data in the performance of maintenance on aircraft, components or processes specified in the organisation's approval class rating schedule and any associated capability list.
Maintenance Data includes but is not limited to information issued by the GCAA, Airworthiness Directives (ADs), the Type Certificate Holder, the Supplementary Type Certificate Holder, Repair or Design Organisation, or applicable manufacturer. This may include Aircraft Maintenance Manuals (AMM), Structural Repair Manuals (SRM), Wiring Diagrams (WDM), Component Maintenance Manuals (CMM), Illustrated Parts Catalogues (IPC), Service Bulletins (SB), and Modifications or Repairs.
The organisation must ensure the data is controlled, up to date and available in the work area for use by the certifying staff and personnel. The organisation must ensure complex tasks are broken into clear stages and transcribed into work cards or computer-based worksheets that reference the data. These systems must have protections in place to prevent unauthorised editing and include a daily backup.
In cases where the maintenance data contains errors or discrepancies, these must be reported to the author of the data or the Type Certificate Holder. No work should be carried out using incorrect or superseded data.
Maintenance Data must also be available during audits and inspections to demonstrate traceability and compliance with the task being performed.",GCAA
Techlog,What are the recording functions of a Technical Logbook under GCAA regulations?,"A Technical Logbook is an official aircraft document used to record operational, technical, and maintenance information during line operations. It provides a legal and traceable record of aircraft status and is essential for ensuring the continuity of airworthiness. The Technical Logbook is a required document under GCAA CAR AIR OPS Subpart M and CAR M.305.
The key recording functions of the Technical Logbook include:
1.	Flight Details  Recording of flight number, date, departure and arrival times, block times, flight crew names, and aircraft registration.
2.	Defects and Malfunctions  Any aircraft or system defects observed before, during, or after the flight must be entered, including relevant ATA chapters.
3.	Maintenance Actions  Corrective actions carried out by certifying staff must be recorded, signed, and dated in the logbook with reference to the maintenance data used.
4.	Deferred Defects  Entry and control of deferred items under the Minimum Equipment List (MEL), including deferral category, rectification date limit, and tracking information.
5.	Fuel and Oil Uplift  Recording of fuel and oil quantity uplifted, consumption, and any fuel discrepancies.
6.	Operational Remarks  Notes from flight crew or maintenance personnel related to aircraft performance or issues requiring follow-up.
7.	Certification of Release to Service (CRS)  A signature and licence number from the authorised certifying staff confirming the aircraft is fit for flight after maintenance.
The Technical Logbook must be designed and controlled by the operator and approved by the GCAA. It must include traceable, legible, and tamper-resistant entries. Electronic technical logbooks may be used if they meet GCAA requirements for integrity, backup, and security.
The logbook serves as an essential source of information for the Continuing Airworthiness Management Organisation (CAMO), maintenance providers, and regulatory authorities during inspections, audits, and airworthiness reviews.",GCAA
ADD,What is Deferred Defect Management and how is it handled under GCAA regulations?,"Deferred Defect Management is the controlled process of postponing the rectification of aircraft defects that do not immediately affect the safety of flight. These defects are managed under strict procedures and must be within the allowances defined by the Minimum Equipment List (MEL) or Configuration Deviation List (CDL).
Under GCAA CAR M.302 and CAR AIR OPS Subpart M, all deferred defects must be properly evaluated, documented, tracked, and rectified within approved time limits. The Continuing Airworthiness Management Organisation (CAMO) is responsible for oversight, while the maintenance organisation ensures proper technical handling.
Key steps in Deferred Defect Management include:
1.	Identification of the defect  Reported by flight crew, maintenance staff, or through system monitoring.
2.	Evaluation against MEL or CDL  The defect is assessed to determine whether deferral is permitted and under what conditions.
3.	Deferral entry  Logged in the Technical Logbook and defect control system, including MEL/CDL reference, deferral category (A, B, C, D), operational restrictions, and rectification deadline.
4.	Placarding and operational conditions  The affected system or equipment must be placarded as inoperative, and any operational or maintenance limitations must be followed.
5.	Monitoring and follow-up  The CAMO and maintenance organisation must monitor all open deferred defects and ensure timely rectification before expiry of the deferral period.
6.	Closure  Once rectified, the defect is cleared with proper documentation and a Certificate of Release to Service (CRS) issued.
If the rectification cannot be completed within the allowed period, an extension may only be granted by the GCAA or through an approved procedure documented in the operators MEL policy.
Deferred Defect Management is a critical part of continuing airworthiness, allowing operational flexibility while ensuring flight safety is not compromised.",GCAA
AD's,What is an Airworthiness Directive (AD) and how is it managed under GCAA CAR M?,"An AD is a mandatory instruction issued by the GCAA or the State of Design to ensure continued airworthiness of an aircraft, engine, propeller, or component. ADs address known unsafe conditions and prescribe inspections, modifications, limitations, or maintenance actions to resolve them.
Under GCAA CAR M.302 and CAR M.306, operators and continuing airworthiness management organisations (CAMOs) are required to ensure that all applicable ADs are identified, assessed, and fully complied with within the time limits specified by the directive.
ADs can be issued for:
1.	Aircraft or components with identified unsafe conditions.
2.	Requirements developed by the State of Design and adopted by the GCAA.
3.	Situations involving recurring defects or systemic issues that impact flight safety.
The CAMO is responsible for tracking ADs through a documented system and must include AD compliance in the Aircraft Maintenance Programme (AMP). Evidence of compliance must be recorded and retained for at least 36 months.
For commercial operators under CAR AIR OPS, the CAMO must have procedures in the CAME (Continuing Airworthiness Management Exposition) detailing how ADs are assessed, implemented, and controlled.
In the event an AD cannot be complied with as specified, the operator must seek an extension or alternative method of compliance (AMOC) from the GCAA.
AD compliance is routinely verified during airworthiness reviews, audits, and inspections by the GCAA or the approved CAMO.",GCAA
ARC,What is an Airworthiness Review Certificate (ARC) and how is it managed under GCAA CAR M regulations?,"An ARC is a document issued after a formal review of an aircrafts continuing airworthiness and validity of its Certificate of Airworthiness (C of A). It is required annually and confirms that the aircraft complies with applicable maintenance requirements and is fit for continued safe operation.
Under GCAA CAR M Subpart I, an ARC may be issued by the GCAA or by an approved Continuing Airworthiness Management Organisation (CAMO) with authorisation under CAR M.901. The review is documented using AWF-ARC-15a (when issued by GCAA) or AWF-ARC-15b (when issued by an approved CAMO), and must be submitted to the GCAA for endorsement.
The Airworthiness Review process includes:
1.	A full documented review of aircraft records  Ensuring all required maintenance, inspections, ADs, and component replacements have been properly recorded and completed.
2.	A physical survey of the aircraft  To verify configuration, condition, and conformity with the approved AMP and airworthiness status.
3.	Controlled environment condition  The ARC remains valid for 12 months only if the aircraft remains under continuous management by a single CAMO and is maintained by an approved organisation (CAR 145 or Subpart F).
ARC eligibility also depends on the qualifications of the Airworthiness Review Staff, who must meet CAR M.707 requirements. This includes holding a CAR 66 Licence or aeronautical degree with at least five years of relevant experience. Where this qualification is not held, ten years of experience is required.
Operators must ensure that ARCs are renewed or extended within the permitted timeframe. An ARC may be issued or extended up to 30 days before its expiry to align with maintenance schedules without losing the original expiry date.
Failure to maintain a valid ARC renders the Certificate of Airworthiness invalid, and the aircraft cannot be operated.",GCAA
