question,option_a,option_b,option_c,correct_answer
Who defines the contents of the MMEL?,The aircraft operator,The State of Design in coordination with the Type Certificate Holder,The Maintenance Organisation,B
"With no previous relevant technical training, it takes a minimum of how many years to obtain B1.1, B1.3 or B2 licence?",5 years,4 years,3 years,A
Which one of the following is a characteristic of the POA (Production Organisation Approval)?,It allows the design of major modifications,It authorises the manufacture of aviation products and parts in compliance with approved data,It grants operational control over airline operations,B
How is the extent of approval granted to a GCAA CAR 145 approved maintenance organisation?,It is defined by the GCAA MEL,As listed in the scope of work defined in the approval certificate and detailed in the MOE,By the line manager based on aircraft type,B
Which licence category permits the holder to issue C.R.S for an aircraft following Base Maintenance?,Category A,Category B1 or B2,Category C,C
"In the annexes to the ICAO convention, you can find Standards and Recommended Practices… How many annexes are there?",17,18,19,C
What is the difference between the MEL and the MMEL?,MEL is issued by ICAO; MMEL by the manufacturer,MEL is operator-specific and approved by GCAA; MMEL is generic and published by the State of Design,There is no difference,B
The aircraft maintenance program shall comply with…?,ICAO SARPs only,"The requirements of the competent authority and take into account the MRB report, MPD, and operational conditions",The AOC operator’s financial budget,B
Who is responsible for issuing the Certificate of Release to Service (CRS)?,GCAA Inspector,Licensed certifying staff authorised by the AMO,The aircraft commander,B
"How many years of experience are required for CAT B1.1, B1.3 & B2 licence following an approved CAR 147 Basic training course?",5 years,2 years,3 years,B
"What is certifying staff, CAT B authorised for?",To certify only cabin interior maintenance tasks,"To certify systems maintenance work after base or line maintenance, within their licence scope",To approve major modifications,B
MEL created by the operator is…?,A customised document based on the MMEL and approved by the GCAA,A guideline document provided by the manufacturer,Optional for private operators,A
Which document represents the basis for the maintenance schedule?,Maintenance Planning Document (MPD),Technical Logbook,Aircraft Technical Log,A
According to which document do you decide whether a component is approved for ETOPS?,MEL,Certification Maintenance Requirements and ETOPS Significant Items List,Type Certificate Data Sheet only,B
Is it possible for a GCAA CAR 145 approved maintenance organisation to obtain an FAA repair station approval in addition?,"Yes, if they comply with FAA Part 145 requirements","No, only US-based companies are eligible",Only if approved directly by ICAO,A
Where are the names of the Airworthiness Review Staff listed?,In the Continuing Airworthiness Management Exposition (CAME),On the Certificate of Airworthiness,On the Flight Manual cover page,A
What is the relationship between ICAO and GCAA?,GCAA adopts and implements ICAO SARPs within UAE regulatory framework,ICAO audits and directly manages all local aviation authorities,GCAA reports to the FAA,A
"Which GCAA rule/specification covers the design and certification standards for a large, turbine-powered aircraft?",CAR OPS,CAR M,CAR 21 with Certification Specifications CS-25,C
CAR M…?,Applies only to helicopters,Covers continuing airworthiness for aircraft and components,Is a document that governs pilot duty hours,B
Any maintenance that is carried out before flight to ensure flight safety?,Base Maintenance,Line Maintenance,Scheduled overhaul,B
Which type of checks are included in line maintenance?,Major structural repairs and overhauls,"Routine checks, defect rectification, and minor scheduled tasks",Deep inspections requiring disassembly of major systems,B
Requirement for AMO to carry out base maintenance?,Valid CAR 66 licence only,"GCAA approval with appropriate hangar, tools, personnel, and listed scope of base maintenance in MOE",MOE submission only,B
Which one of the following is a Type Certificate holder additionally required to hold?,Certificate of Registration,Production Organisation Approval (POA),Air Operator Certificate (AOC),B
Which powers are given to the Authority (GCAA) within the UAE legal framework?,They regulate ground handling operations only,"They can issue, suspend, and revoke licences, approvals, and certificates under UAE Civil Aviation Law",They manage all pilot training directly,B
What is a base maintenance check?,A simple turnaround check at the gate,A scheduled in-depth maintenance check carried out in a hangar,A routine oil check by ground crew,B
What is required before an AMO can issue authorisation to certifying staff?,"Completion of type course, procedures training, competence assessment, and authorisation records in MOE",Verbal confirmation from the quality manager,At least one year of general experience,A
Which of the following items must appear on a C of A?,The total number of maintenance hours completed,"Aircraft registration, manufacturer, and type designation",Aircrew details,B
How often must Human Factors continuation training be provided to certifying staff?,Once every 5 years,At least every 2 years,When changing job roles only,B
What type of staff are required for base maintenance activity?,CAT C certifying staff supported by CAT B1/B2 qualified personnel,Cabin crew,Storekeepers,A
What is the meaning of AMC?,Aircraft Maintenance Checklist,Approved Maintenance Capability,Acceptable Means of Compliance,C
What type of Aircraft Maintenance is involved in CAR 145?,Scheduled maintenance for private aircraft only,Line and base maintenance for commercial and large aircraft,Flight operations management,B
What must be met before a CRS can be issued?,"Maintenance must be completed in accordance with approved data, with no outstanding non-compliance",Approval from the aircraft owner,Visual check by flight crew,A
The certificate of registration confirms…?,The aircraft's airworthiness,The legal ownership and nationality of the aircraft,The maintenance status,B
What is the purpose of occurrence reporting within a CAR 145 AMO?,To track employee performance,To identify safety issues and implement corrective actions,To maintain a record of flight operations,B
Which CAR section deals with how to become a certifying staff member?,CAR M,CAR OPS,CAR 66,C
What does a maintenance organisation have to issue after maintenance on commercially operated aircraft or components?,A logbook entry,A Certificate of Release to Service (CRS),A performance report,B
What is the minimum age to hold a CAR 66 AML?,16 years,18 years,21 years,B
A Certificate of Airworthiness (C of A) is valid only if the…,Aircraft is regularly flown,Aircraft is maintained in accordance with an approved maintenance program,Operator submits monthly updates,B
What does a Category A license holder typically certify?,Complex structural repairs,Simple defect rectification and line maintenance tasks,Avionics installation,B
What is the maximum time allowed between continuation training sessions for certifying staff?,5 years,3 years,2 years,C
What type of staff are required for line maintenance activity?,Flight crew,B1/B2 certifying staff with appropriate authorisations,Quality auditors,B
An aircraft production organisation needs an approval in accordance with…?,CAR M,CAR OPS 1,CAR 21 Subpart G (POA),C
What is the role of the Quality Department in a CAR 145 AMO?,To certify base maintenance tasks,To ensure compliance through audits and monitoring corrective actions,To train flight crew,B
The approval for a radio licence is…?,Issued by the State authority based on compliance with national and international radio regulations,Granted automatically with the aircraft type certificate,Optional for operators flying domestically only,A
Pre-flight inspections…?,Are required before each flight and may be performed by flight or maintenance staff,Are optional unless on international routes,Are performed only after heavy maintenance,A
An organisation for design and production of aircraft needs…?,Only a DOA,A DOA and POA for design and production approvals respectively,A GCAA AMEL,B
Raw and Consumable material used for aircraft maintenance…?,Must be traceable to an approved source and comply with aviation quality standards,Can be purchased from any industrial supplier,Must be registered with ICAO,A
Who is responsible for ensuring the MEL is customized for the operator and approved by the authority?,The aircraft manufacturer,The operator,The line maintenance supervisor,B
Maintenance check flights…?,Must be performed after every maintenance task,Are carried out when required by the maintenance data or the GCAA to confirm airworthiness,Are the responsibility of the cabin crew,B
CAR 66 requires renewal of an AMEL?,"No, it is valid for life","Yes, typically every 5 years as per GCAA guidelines",Only if additional categories are added,B
"Which of the following is an examination rule described in the regulation of CAR 66, Appendix II?",Exams must be open-book for practical modules,Exams must be invigilated and conducted in a controlled environment,Exams can be administered by an independent AMO,B
Is the operator’s version of the MEL always identical to the Master MEL and if not why?,"Yes, they must be the same for consistency","No, the MEL is derived from the MMEL and customized based on the operator's configuration and routes","No, because MELs are only needed for foreign operators",B
A repair means…?,Replacement of a component with a new one,The restoration of an airworthy condition following damage or failure,A modification to improve performance,B
