question,option_a,option_b,option_c,correct_answer,reference
"In a CAR 145 maintenance organisation, who may be considered support staff?",Staff who hold a CAR 66 licence and work under the direct supervision of certifying staff,"Staff holding a CAR 66 licence with type ratings, working in base maintenance without certification authority",Technicians with internal company authorisation but no formal licence,b,"CAR 145.35 para (a)(i), Issue 09"
What is the purpose of continuation training for certifying and support staff in a CAR 145 organisation?,To meet licensing renewal requirements under CAR 66,"To ensure staff remain current in procedures, human factors, and technical knowledge",To replace the need for initial type training,b,"AMC to CAR 145.35, Issue 09"
How often must certifying and support staff receive continuation training?,Annually,Every two years,Every five years,b,"CAR 145.35 para (d), Issue 09"
What topics must continuation training cover for certifying and support staff?,Emergency procedures and communication skills,"Human factors, aviation legislation, technology, and organisation procedures",Quality audits and customer feedback,b,"CAR 145.35 para (d), Issue 09"
What must an organisation establish to manage continuation training?,A training approval system with GCAA,A training licence with CAR-147 authority,A programme including procedures to ensure compliance with CAR 145.35 and CAR 66,c,"CAR 145.35 para (e), Issue 09"
"Before issuing a certification authorisation, what must the organisation assess for certifying staff?",Their exam grades and prior work location,Their personality and attitude,"Their competence, qualification, and capability",c,"CAR 145.35 para (f), Issue 09"
What is the minimum age for certifying and support staff under CAR 145?,18 years,20 years,21 years,c,"CAR 145.35 para (m), Issue 09"
What is required before a Category A licence holder can certify tasks?,Type course from any aviation academy,Task training including practical and theoretical elements,At least three years of general experience,b,"CAR 145.35 para (n), Issue 09"
How long must a maintenance organisation retain certifying and support staff records after the employee leaves?,One year,Three years,Five years,b,"CAR 145.35 para (j), Issue 09"
Who is ultimately responsible for issuing certification authorisations in a CAR 145 organisation?,The line manager of the certifying staff,The quality manager or nominated person per procedure,The aircraft operators safety office,b,"CAR 145.35 para (i), Issue 09"
What must a certifying staff member do if requested by an authorised person to show their certification authorisation?,Present it within 72 hours,Present it within 24 hours,Only show it during internal audits,b,"CAR 145.35 para (l), Issue 09"
What format must the organisation provide when issuing a certification authorisation to certifying staff?,"Only hardcopy, signed by the Accountable Manager",Either documented or electronic format,Laminated copy in triplicate,b,"CAR 145.35 para (k), Issue 09"
How long must an organisation retain the personal records of certifying and support staff after employment ends?,One year,Three years,Five years,b,"CAR 145.35 para (j), Issue 09"
What must a Category B2 licence holder complete to certify under CAR 145.35(o)?,A general familiarisation course,Six months of documented practical experience and task training,Three years of line maintenance only,b,"CAR 145.35 para (o), Issue 09"
Who is responsible for issuing certification authorisations within the organisation?,The certifying staffs immediate supervisor,The person responsible for the quality system,The GCAA airworthiness inspector,b,"CAR 145.35 para (i), Issue 09"
What must be clear in the format of a certification authorisation?,Colour coding of ranks,Language used for training,Scope and limits of the authorisation,c,"CAR 145.35 para (h), Issue 09"
Under what condition is a certification authorisation considered valid?,Only if approved by the aircraft operator,While the licence and training remain current and valid,Provided the certifying staff has type training on record only,b,"CAR 145.35 para (g), Issue 09"
What information must be included in the personal record of certifying staff?,Number of annual leave days,"Scope of the authorisation, training history, and qualifications",Medical and psychological records,b,"AMC to CAR 145.35, Issue 09"
What must an organisation verify before granting one-off authorisation for unforeseen cases under CAR 145.30(j)?,That the task has no time limits,That a step-by-step instruction and technical data are provided,That the task is being performed for the first time,b,"AMC 145.30(j)(5)(i), Issue 09"
What must a certifying staff member with a Category A licence demonstrate after task training?,Oral declaration to quality manager,Completion of online self-test,Competence via examination or workplace assessment,c,"CAR 145.35 para (n), Issue 09"
What condition must be met for a CAR 145 organisation to issue a certification authorisation?,The staff must be at least 25 years old,The candidate must pass a GCAA interview,"The organisation must assess competence, qualification, and capability",c,"CAR 145.35 para (f), Issue 09"
How much relevant maintenance experience must certifying staff have in a two-year period?,Six months,One year,Nine months,a,"CAR 145.35 para (c), Issue 09"
What does CAR 145.35 para (e) require the organisation to do regarding continuation training?,Allow each staff member to choose their own syllabus,Contract out training to a CAR 66 licence holder,Establish a training programme and procedure to ensure compliance,c,"CAR 145.35 para (e), Issue 09"
What must a certifying staffs authorisation clearly show?,Home base location,Language of instruction,The scope and limits of the authorisation,c,"CAR 145.35 para (h), Issue 09"
What must an organisation maintain for each certifying and support staff member?,A copy of their passport,"A record including licence details, training, and authorisation scope",Annual bonus reports and leave records,b,"CAR 145.35 para (j), Issue 09"
What is the minimum age requirement for certifying and support staff in a CAR 145 organisation?,18 years,20 years,21 years,c,"CAR 145.35 para (m), Issue 09"
How should continuation training records be managed?,Kept only in printed files,Managed by each staff member,Recorded and transferred to personal records,c,"AMC to CAR 145.35, Issue 09"
What must the quality department verify before issuing a one-off authorisation?,Staff uniforms are GCAA approved,Full technical details and maintenance data are provided,The certifying staff holds an ATPL,b,"AMC 145.30(j)(5)(i), Issue 09"
What determines the continued validity of a certifying staff members authorisation in a CAR 145 organisation?,Passing a yearly knowledge test,"Ongoing compliance with CAR 145.35, including experience, training, and competence",GCAA revalidation of the staff members licence every 12 months,b,"CAR 145.35 para (g), Issue 09"
What must be considered when defining the duration of continuation training?,Local holidays and public events,The level of internal audit findings and task complexity,Employee satisfaction surveys,b,"AMC to CAR 145.35, Issue 09"
Under what condition may a CAR 145 organisation issue a one-off authorisation under unforeseen circumstances?,If the person holds an ATPL and has prior training,If the task is simple and repetitive,If the task is not listed in the individuals scope and all conditions of 145.30(j) are met,c,"CAR 145.30 para (j), Issue 09"
Who are considered certifying staff under CAR 145?,Only B1 and B2 licence holders,Staff authorised by the GCAA to supervise quality inspections,Personnel authorised by the organisation to release aircraft or components after maintenance,c,"CAR 145.35 para (a)(ii), Issue 09"
Under what condition may a CAR 145 organisation issue a certification authorisation to certifying staff?,The individual holds a valid CAR 66 licence with the appropriate category or subcategory and type rating,The individual has three years of employment with the same organisation,The individual has passed a company-conducted personality test,a,"CAR 145.35 para (b), Issue 09"
What must a Category A licence holder complete before exercising certification privileges?,GCAA refresher workshop,Type rating examination,Relevant task training covering practical and theoretical content,c,"CAR 145.35 para (n), Issue 09"
What must be confirmed before installing a component with multiple modification standards?,That it is sourced from an approved training school,That it is eligible to be fitted under the applicable standard,That it has been used previously by the same operator,b,"CAR 145.42 para (b), Issue 09"
What type of parts may a CAR 145 organisation fabricate?,Any parts for internal or external sale,Only those parts fabricated in-house and identified in the exposition,Any metal components under 2 kg,b,"CAR 145.42 para (c), Issue 09"
What must be used to certify maintenance of UAE-registered aircraft?,EASA Form 1,FAA 8130-3,GCAA AW Form 1,c,"CAR 145.42 para (a), Issue 09"
What must accompany raw material before it is used in aircraft maintenance?,Price quote and origin certificate,"Conformity to specification, manufacturer and supplier source",GCAA validation letter,b,"CAR 145.42 para (a)(5), Issue 09"
What must an organisation ensure about standard parts before installation?,They are listed in the manufacturer's illustrated parts catalogue,They are manufactured in the UAE,They are returned unused from previous jobs,a,"CAR 145.42 para (a)(4), Issue 09"
When can an AW Form 1 be used as an equivalent release document?,Only for parts made in Europe,When issued under a GCAA-approved bilateral agreement,When signed by a certifying staff with a B1 licence,b,"AMC to CAR 145.42 para (a)(1), Issue 09"
What must a CAR 145 organisation do after completing a critical maintenance task?,Submit the task to the aircraft manufacturer for verification,Perform an independent inspection or apply an error-capturing method,Archive the task card and update the MOE,b,"CAR 145.48(b), Issue 09"
When must an organisation carry out a general verification after maintenance?,Only for flight control system-related work,Only during audits,After completing any maintenance,c,"CAR 145.48(a), Issue 09"
What is the purpose of CAR 145.50 related to certification of maintenance?,To delegate GCAA tasks to the operator,To ensure all required maintenance is completed and properly released,To audit maintenance before CAMO oversight,b,"CAR 145.50(a), Issue 09"
How long must a CAR 145 organisation retain detailed maintenance records?,One year,Three years,Indefinitely,b,"CAR 145.55 para (c), Issue 09"
What must be included in the maintenance records retained by the organisation?,GCAA inspection reports,Copies of release certificates and repair/modification data,Operator HR files,b,"CAR 145.55 para (b), Issue 09"
What must a CAR 145 organisation do if a condition is discovered that may affect flight safety?,Send a memo to staff,Immediately report it to the GCAA and other relevant entities,Store it in the archives,b,"CAR 145.60(a), Issue 09"
What internal system must the organisation establish to manage safety-related events?,Maintenance planning system,Occurrence reporting system,Job rotation programme,b,"CAR 145.60(b), Issue 09"
What is one key feature of an effective occurrence reporting system under AMC 145.60(b)?,Regular staff voting on improvement suggestions,Financial rewards for top performers,A closed-loop process ensuring action and feedback,c,"AMC 145.60(b), Issue 09"
What must be documented in the organisations safety and quality policy?,Number of completed inspections,Employee salaries and attendance,Commitment to human factors and error reporting,c,"AMC 145.65(a), Issue 09"
What must be included in the CAR 145 organisations quality system?,Internal financial review,Customer satisfaction rating,Independent audits and a quality feedback system,c,"CAR 145.65(c), Issue 09"
What must an organisation do before using an equivalent release document?,Verify it is accepted by the GCAA under a bilateral agreement,Scan it and upload to the MOE,Send a copy to the type certificate holder,a,"AMC to CAR 145.42(a)(1), Issue 09"
What must a certifying staffs authorisation clearly show?,Home base location,Language of instruction,The scope and limits of the authorisation,c,"CAR 145.35 para (h), Issue 09"
What must a CAR 145 organisation do after completing a critical maintenance task?,Submit the task to the aircraft manufacturer for verification,Perform an independent inspection or apply an error-capturing method,Archive the task card and update the MOE,b,"CAR 145.48(b), Issue 09"
Under what condition is a certification authorisation considered valid?,Only if approved by the aircraft operator,While the licence and training remain current and valid,Provided the certifying staff has type training on record only,b,"CAR 145.35 para (g), Issue 09"
What internal system must the organisation establish to manage safety-related events?,Maintenance planning system,Occurrence reporting system,Job rotation programme,b,"CAR 145.60(b), Issue 09"
How long must a CAR 145 organisation retain detailed maintenance records?,One year,Three years,Indefinitely,b,"CAR 145.55 para (c), Issue 09"
Who is considered certifying staff under CAR 145?,Staff authorised to release aircraft or components after maintenance,GCAA-licensed airworthiness inspectors,Staff qualified in technical documentation,a,"CAR 145.35 para (a)(ii), Issue 09"
What must be confirmed before installing a component with multiple modification standards?,That it is sourced from an approved training school,That it is eligible to be fitted under the applicable standard,That it has been used previously by the same operator,b,"CAR 145.42 para (b), Issue 09"
Who is responsible for ensuring that an aircraft is maintained in an airworthy condition and in accordance with the approved maintenance programme?,The approved maintenance organisation,The GCAA,The aircraft owner or lessee,c,"CAR M.201(a), Issue 06"
Who must ensure that applicable airworthiness directives are applied to an aircraft?,The owner or contracted CAMO,The pilot-in-command,The manufacturer,a,"CAR M.201(a)(4), Issue 06"
Who is responsible for maintenance performed on an aircraft?,The CAMO that manages the aircraft,The person or organisation that performed the work,The aircraft owner,b,"CAR M.201(c), Issue 06"
Who is responsible for ensuring the aircraft is presented to the maintenance organisation at the scheduled time?,The GCAA,The maintenance planner,The owner or operator,c,"GM CAR M.201, Issue 06"
What must the CAMO ensure if the aircraft is not brought to the approved maintenance organisation by the owner?,Inform the manufacturer,Issue a temporary permit to fly,Notify the GCAA,c,"GM CAR M.201 para (5.1)(5), Issue 06"
Who is responsible for reporting defects found during operation?,The CAMO,The manufacturer,The aircraft operator or owner,c,"GM CAR M.201 para (5.2)(6), Issue 06"
What is the responsibility of the operator when using an aircraft under an AOC?,Ensure maintenance is contracted directly with the manufacturer,Be approved as a CAMO as part of its AOC,Use only in-house maintenance engineers,b,"CAR M.201(e)(2), Issue 06"
Who must perform maintenance inspections related to de-icing fluid residue removal?,Ground crew under supervision,Suitably authorised personnel,The aircraft manufacturer,b,"GM CAR M.201(e), Issue 06"
What must be reported by any person or organisation responsible under CAR M.201?,Overdue inspections,GCAA audit schedules,Conditions endangering flight safety,c,"CAR M.202(a), Issue 06"
What must a CAMO do regarding occurrence reports under a written contract for maintenance?,File them with the aircraft insurance provider,Only report them if requested by the owner,"Report to the GCAA, owner, operator, and CAMO (if different)",c,"CAR M.202(c), Issue 06"
What document must each aircraft be maintained in accordance with?,The manufacturer's technical bulletin,A GCAA-approved Aircraft Maintenance Programme (AMP),The operators general company procedures,b,"CAR M.302(a), Issue 06"
